,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
133604,475,1198,5,976218884,F,25,2,55421,Raiders of the Lost Ark (1981),Action|Adventure,False
755282,4865,2132,5,962818748,F,35,14,02130,Who's Afraid of Virginia Woolf? (1966),Drama,False
539532,3642,1220,3,966473693,F,25,7,98188,"Blues Brothers, The (1980)",Action|Comedy|Musical,False
922842,6036,2672,1,956710231,F,25,15,32603,"Thirteenth Floor, The (1999)",Drama|Sci-Fi|Thriller,False
685094,4682,1094,4,964566489,M,25,7,05346,"Crying Game, The (1992)",Drama|Romance|War,False
838093,4653,2171,4,975534173,M,35,12,95051,"Next Stop, Wonderland (1998)",Comedy|Drama|Romance,False
434010,1273,7,3,974813978,M,35,2,19123,Sabrina (1995),Comedy|Romance,False
854353,4972,2748,1,962605915,M,35,0,95118,Allan Quartermain and the Lost City of Gold (1987),Action|Adventure,False
711436,3031,818,4,970430304,M,18,4,48135,"Very Brady Sequel, A (1996)",Comedy,False
832901,5153,2796,2,961969625,M,25,7,60046,Funny Farm (1988),Comedy,False
906245,2453,3328,3,974192484,M,25,7,55429,Ghost Dog: The Way of the Samurai (1999),Crime|Drama,False
336651,3705,3685,5,966286355,M,45,7,30076,Prizzi's Honor (1985),Comedy|Drama|Romance,False
487284,2547,926,5,974040386,F,35,0,37920,All About Eve (1950),Drama,False
900437,1255,522,4,974823760,M,25,17,94110,Romper Stomper (1992),Action|Drama,False
379144,5964,337,5,956994567,M,18,5,97202,What's Eating Gilbert Grape (1993),Drama,False
944098,3401,2877,2,980117434,M,35,7,76109,Tommy (1975),Drama|Musical,False
539651,4071,1220,5,965611570,M,25,17,33823,"Blues Brothers, The (1980)",Action|Comedy|Musical,False
302252,1698,1734,4,975873642,M,35,2,97214,My Life in Pink (Ma vie en rose) (1997),Comedy|Drama,False
395802,1778,805,4,975576628,M,18,4,94704,"Time to Kill, A (1996)",Drama,False
229346,2127,39,4,982120905,M,18,4,12309,Clueless (1995),Comedy|Romance,False
431023,2455,3438,1,974180846,M,35,7,48197,Teenage Mutant Ninja Turtles (1990),Action|Children's|Fantasy,False
488927,4344,784,3,966519829,M,25,1,44240,"Cable Guy, The (1996)",Comedy,False
270518,493,1921,1,976217085,M,50,7,55016,Pi (1998),Sci-Fi|Thriller,False
321983,2263,357,5,974585622,M,25,6,70508,Four Weddings and a Funeral (1994),Comedy|Romance,False
621624,3483,1911,3,986910438,F,45,7,30260,Doctor Dolittle (1998),Comedy,False
768177,3217,237,4,968777157,F,35,0,92630,Forget Paris (1995),Comedy|Romance,False
862282,5795,1983,4,958150324,M,25,1,92688,Halloween II (1981),Horror,False
727844,1465,1222,4,974763428,M,50,16,93003,Full Metal Jacket (1987),Action|Drama|War,False
74711,1202,1213,3,974926334,M,35,12,97006,GoodFellas (1990),Crime|Drama,False
691530,566,2064,4,976039385,M,25,17,92122,Roger & Me (1989),Comedy|Documentary,False
913018,494,3564,3,976216510,F,35,0,17870,"Flintstones in Viva Rock Vegas, The (2000)",Children's|Comedy,False
832808,2907,2796,5,971840517,F,35,5,12345,Funny Farm (1988),Comedy,False
672699,3265,1391,2,968261003,M,25,15,53704,Mars Attacks! (1996),Action|Comedy|Sci-Fi|War,False
212821,3477,2081,5,967127219,F,50,1,10024,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance,False
616368,929,1805,4,975566180,M,25,15,53706,Wild Things (1998),Crime|Drama|Mystery|Thriller,False
492444,5011,1967,5,962585746,M,18,4,64154,Labyrinth (1986),Adventure|Children's|Fantasy,False
231668,2181,1466,5,974860595,M,25,0,45245,Donnie Brasco (1997),Crime|Drama,False
606650,5144,3646,4,962035188,F,50,0,66762,Big Momma's House (2000),Comedy,False
154278,3403,21,4,967429703,M,35,5,48342,Get Shorty (1995),Action|Comedy|Drama,False
995685,4085,2778,4,986186806,F,25,6,79416,Never Talk to Strangers (1995),Thriller,False
287535,4732,908,4,963637210,M,25,14,24450,North by Northwest (1959),Drama|Thriller,False
